order_id,products_json,customer_type,budget_tier
synth_ord_0058,"[""prod-45""]",student_budget,budget
synth_ord_0059,"[""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0060,"[""prod-23"", ""prod-27"", ""prod-24""]",student_budget,budget
synth_ord_0061,"[""prod-46"", ""prod-50"", ""prod-45""]",student_budget,budget
synth_ord_0062,"[""prod-2"", ""prod-22""]",tech_enthusiast,mid-range
synth_ord_0063,"[""prod-6"", ""prod-5""]",fitness_pro,mid-range
synth_ord_0064,"[""prod-15"", ""prod-30""]",student_budget,budget
synth_ord_0065,"[""prod-25"", ""prod-6""]",mobile_professional,mid-range
synth_ord_0066,"[""prod-26"", ""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0067,"[""prod-40"", ""prod-42"", ""prod-41""]",executive_premium,premium
synth_ord_0068,"[""prod-46"", ""prod-45"", ""prod-50""]",student_budget,budget
synth_ord_0069,"[""prod-46"", ""prod-13""]",fitness_pro,mid-range
synth_ord_0070,"[""prod-46"", ""prod-41""]",fitness_pro,mid-range
synth_ord_0071,"[""prod-36"", ""prod-38""]",fitness_pro,mid-range
synth_ord_0072,"[""prod-33"", ""prod-27""]",audiophile_creator,premium
synth_ord_0073,"[""prod-14""]",mobile_professional,mid-range
synth_ord_0074,"[""prod-44""]",audiophile_creator,premium
synth_ord_0075,"[""prod-23"", ""prod-9""]",tech_enthusiast,mid-range
synth_ord_0076,"[""prod-49"", ""prod-11""]",mobile_professional,mid-range
synth_ord_0077,"[""prod-36"", ""prod-35"", ""prod-18""]",fitness_pro,mid-range
synth_ord_0078,"[""prod-40""]",executive_premium,premium
synth_ord_0079,"[""prod-1""]",audiophile_creator,premium
synth_ord_0080,"[""prod-34"", ""prod-22""]",fitness_pro,mid-range
synth_ord_0081,"[""prod-25"", ""prod-5""]",audiophile_creator,premium
synth_ord_0082,"[""prod-9"", ""prod-44""]",fitness_pro,mid-range
synth_ord_0083,"[""prod-30"", ""prod-8""]",tech_enthusiast,mid-range
synth_ord_0084,"[""prod-1"", ""prod-25""]",audiophile_creator,premium
synth_ord_0085,"[""prod-28""]",audiophile_creator,premium
synth_ord_0086,"[""prod-40"", ""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0087,"[""prod-30"", ""prod-13""]",audiophile_creator,premium
synth_ord_0088,"[""prod-45"", ""prod-41""]",student_budget,budget
synth_ord_0089,"[""prod-9"", ""prod-24"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0090,"[""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0091,"[""prod-2""]",executive_premium,premium
synth_ord_0092,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0093,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0094,"[""prod-24"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0095,"[""prod-40""]",fitness_pro,mid-range
synth_ord_0096,"[""prod-37""]",fitness_pro,mid-range
synth_ord_0097,"[""prod-12"", ""prod-25""]",tech_enthusiast,mid-range
synth_ord_0098,"[""prod-15"", ""prod-26"", ""prod-14""]",mobile_professional,mid-range
synth_ord_0099,"[""prod-16"", ""prod-26"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0100,"[""prod-9"", ""prod-27"", ""prod-24""]",audiophile_creator,premium
synth_ord_0101,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0102,"[""prod-25"", ""prod-5""]",audiophile_creator,premium
synth_ord_0103,"[""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0104,"[""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0105,"[""prod-1"", ""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0106,"[""prod-46"", ""prod-45"", ""prod-41""]",student_budget,budget
synth_ord_0107,"[""prod-28""]",mobile_professional,mid-range
synth_ord_0108,"[""prod-25"", ""prod-6""]",audiophile_creator,premium
synth_ord_0109,"[""prod-36"", ""prod-35""]",fitness_pro,mid-range
synth_ord_0110,"[""prod-16""]",mobile_professional,mid-range
synth_ord_0111,"[""prod-42""]",executive_premium,premium
synth_ord_0112,"[""prod-23"", ""prod-27""]",tech_enthusiast,mid-range
synth_ord_0113,"[""prod-14"", ""prod-20""]",executive_premium,premium
synth_ord_0114,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0115,"[""prod-50"", ""prod-41""]",student_budget,budget
synth_ord_0116,"[""prod-40"", ""prod-42""]",executive_premium,premium
synth_ord_0117,"[""prod-25"", ""prod-6""]",audiophile_creator,premium
synth_ord_0118,"[""prod-28""]",student_budget,budget
synth_ord_0119,"[""prod-45"", ""prod-41""]",audiophile_creator,premium
synth_ord_0120,"[""prod-20""]",mobile_professional,mid-range
synth_ord_0121,"[""prod-46"", ""prod-50""]",tech_enthusiast,mid-range
synth_ord_0122,"[""prod-18"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0123,"[""prod-15"", ""prod-16"", ""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0124,"[""prod-35""]",fitness_pro,mid-range
synth_ord_0125,"[""prod-6""]",executive_premium,premium
synth_ord_0126,"[""prod-46"", ""prod-50""]",student_budget,budget
synth_ord_0127,"[""prod-38"", ""prod-18"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0128,"[""prod-15"", ""prod-16"", ""prod-14"", ""prod-20""]",executive_premium,premium
synth_ord_0129,"[""prod-47""]",tech_enthusiast,mid-range
synth_ord_0130,"[""prod-38""]",fitness_pro,mid-range
synth_ord_0131,"[""prod-15"", ""prod-26""]",audiophile_creator,premium
synth_ord_0132,"[""prod-38""]",fitness_pro,mid-range
synth_ord_0133,"[""prod-23"", ""prod-27""]",tech_enthusiast,mid-range
synth_ord_0134,"[""prod-38"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0135,"[""prod-38"", ""prod-18""]",fitness_pro,mid-range
synth_ord_0136,"[""prod-47"", ""prod-48""]",student_budget,budget
synth_ord_0137,"[""prod-1"", ""prod-8""]",mobile_professional,mid-range
synth_ord_0138,"[""prod-28""]",tech_enthusiast,mid-range
synth_ord_0139,"[""prod-31"", ""prod-22""]",fitness_pro,mid-range
synth_ord_0140,"[""prod-2"", ""prod-7""]",mobile_professional,mid-range
synth_ord_0141,"[""prod-49""]",audiophile_creator,premium
synth_ord_0142,"[""prod-37""]",fitness_pro,mid-range
synth_ord_0143,"[""prod-40"", ""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0144,"[""prod-9"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0145,"[""prod-9"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0146,"[""prod-39""]",student_budget,budget
synth_ord_0147,"[""prod-25"", ""prod-5""]",audiophile_creator,premium
synth_ord_0148,"[""prod-46"", ""prod-50"", ""prod-41""]",student_budget,budget
synth_ord_0149,"[""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0150,"[""prod-35"", ""prod-18"", ""prod-36"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0151,"[""prod-14"", ""prod-8"", ""prod-10""]",fitness_pro,mid-range
synth_ord_0152,"[""prod-42"", ""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0153,"[""prod-35"", ""prod-38""]",mobile_professional,mid-range
synth_ord_0154,"[""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0155,"[""prod-35"", ""prod-37""]",audiophile_creator,premium
synth_ord_0156,"[""prod-2"", ""prod-12"", ""prod-7""]",student_budget,budget
synth_ord_0157,"[""prod-46"", ""prod-45""]",student_budget,budget
synth_ord_0158,"[""prod-36"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0159,"[""prod-35"", ""prod-21""]",mobile_professional,mid-range
synth_ord_0160,"[""prod-45""]",audiophile_creator,premium
synth_ord_0161,"[""prod-1"", ""prod-25"", ""prod-5""]",tech_enthusiast,mid-range
synth_ord_0162,"[""prod-38""]",fitness_pro,mid-range
synth_ord_0163,"[""prod-41""]",student_budget,budget
synth_ord_0164,"[""prod-43""]",executive_premium,premium
synth_ord_0165,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0166,"[""prod-25""]",audiophile_creator,premium
synth_ord_0167,"[""prod-26"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0168,"[""prod-45"", ""prod-20""]",audiophile_creator,premium
synth_ord_0169,"[""prod-31"", ""prod-25""]",tech_enthusiast,mid-range
synth_ord_0170,"[""prod-42"", ""prod-41""]",executive_premium,premium
synth_ord_0171,"[""prod-36"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0172,"[""prod-15"", ""prod-26"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0173,"[""prod-40"", ""prod-42""]",mobile_professional,mid-range
synth_ord_0174,"[""prod-29"", ""prod-42""]",student_budget,budget
synth_ord_0175,"[""prod-16"", ""prod-26"", ""prod-14"", ""prod-20""]",student_budget,budget
synth_ord_0176,"[""prod-12"", ""prod-19""]",tech_enthusiast,mid-range
synth_ord_0177,"[""prod-31""]",mobile_professional,mid-range
synth_ord_0178,"[""prod-16""]",mobile_professional,mid-range
synth_ord_0179,"[""prod-23"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0180,"[""prod-46"", ""prod-41""]",student_budget,budget
synth_ord_0181,"[""prod-1"", ""prod-5""]",audiophile_creator,premium
synth_ord_0182,"[""prod-1"", ""prod-25"", ""prod-5""]",audiophile_creator,premium
synth_ord_0183,"[""prod-31"", ""prod-44""]",audiophile_creator,premium
synth_ord_0184,"[""prod-23"", ""prod-9"", ""prod-27"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0185,"[""prod-18"", ""prod-38"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0186,"[""prod-43""]",audiophile_creator,premium
synth_ord_0187,"[""prod-24"", ""prod-47""]",executive_premium,premium
synth_ord_0188,"[""prod-44"", ""prod-24""]",fitness_pro,mid-range
synth_ord_0189,"[""prod-19""]",mobile_professional,mid-range
synth_ord_0190,"[""prod-14"", ""prod-30""]",tech_enthusiast,mid-range
synth_ord_0191,"[""prod-23"", ""prod-27"", ""prod-24""]",audiophile_creator,premium
synth_ord_0192,"[""prod-25"", ""prod-6""]",tech_enthusiast,mid-range
synth_ord_0193,"[""prod-27"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0194,"[""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0195,"[""prod-49"", ""prod-11""]",student_budget,budget
synth_ord_0196,"[""prod-45""]",student_budget,budget
synth_ord_0197,"[""prod-35"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0198,"[""prod-42"", ""prod-43""]",executive_premium,premium
synth_ord_0199,"[""prod-46"", ""prod-45""]",student_budget,budget
synth_ord_0200,"[""prod-5""]",audiophile_creator,premium
synth_ord_0201,"[""prod-26"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0202,"[""prod-34"", ""prod-33""]",fitness_pro,mid-range
synth_ord_0203,"[""prod-15"", ""prod-14"", ""prod-20""]",executive_premium,premium
synth_ord_0204,"[""prod-30"", ""prod-27""]",fitness_pro,mid-range
synth_ord_0205,"[""prod-38"", ""prod-18""]",fitness_pro,mid-range
synth_ord_0206,"[""prod-9""]",tech_enthusiast,mid-range
synth_ord_0207,"[""prod-12"", ""prod-7"", ""prod-19""]",student_budget,budget
synth_ord_0208,"[""prod-1"", ""prod-25""]",audiophile_creator,premium
synth_ord_0209,"[""prod-39"", ""prod-7""]",student_budget,budget
synth_ord_0210,"[""prod-40"", ""prod-41""]",executive_premium,premium
synth_ord_0211,"[""prod-11"", ""prod-47""]",executive_premium,premium
synth_ord_0212,"[""prod-42""]",executive_premium,premium
synth_ord_0213,"[""prod-8"", ""prod-14"", ""prod-7"", ""prod-10""]",student_budget,budget
synth_ord_0214,"[""prod-42"", ""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0215,"[""prod-36"", ""prod-38""]",fitness_pro,mid-range
synth_ord_0216,"[""prod-23"", ""prod-47""]",student_budget,budget
synth_ord_0217,"[""prod-1"", ""prod-6""]",audiophile_creator,premium
synth_ord_0218,"[""prod-50"", ""prod-41""]",student_budget,budget
synth_ord_0219,"[""prod-1"", ""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0220,"[""prod-8"", ""prod-7""]",tech_enthusiast,mid-range
synth_ord_0221,"[""prod-1"", ""prod-6""]",audiophile_creator,premium
synth_ord_0222,"[""prod-16"", ""prod-14""]",executive_premium,premium
synth_ord_0223,"[""prod-50"", ""prod-41""]",student_budget,budget
synth_ord_0224,"[""prod-36""]",fitness_pro,mid-range
synth_ord_0225,"[""prod-29"", ""prod-30"", ""prod-22""]",mobile_professional,mid-range
synth_ord_0226,"[""prod-46"", ""prod-41""]",student_budget,budget
synth_ord_0227,"[""prod-5""]",audiophile_creator,premium
synth_ord_0228,"[""prod-12"", ""prod-7""]",executive_premium,premium
synth_ord_0229,"[""prod-45"", ""prod-41""]",student_budget,budget
synth_ord_0230,"[""prod-11"", ""prod-47""]",audiophile_creator,premium
synth_ord_0231,"[""prod-26"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0232,"[""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0233,"[""prod-50"", ""prod-45""]",student_budget,budget
synth_ord_0234,"[""prod-40"", ""prod-41""]",executive_premium,premium
synth_ord_0235,"[""prod-40"", ""prod-41""]",executive_premium,premium
synth_ord_0236,"[""prod-2"", ""prod-12"", ""prod-7"", ""prod-19""]",fitness_pro,mid-range
synth_ord_0237,"[""prod-46"", ""prod-41""]",tech_enthusiast,mid-range
synth_ord_0238,"[""prod-25"", ""prod-22""]",mobile_professional,mid-range
synth_ord_0239,"[""prod-42"", ""prod-41""]",audiophile_creator,premium
synth_ord_0240,"[""prod-40"", ""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0241,"[""prod-8"", ""prod-14"", ""prod-7"", ""prod-10""]",executive_premium,premium
synth_ord_0242,"[""prod-3"", ""prod-7""]",executive_premium,premium
synth_ord_0243,"[""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0244,"[""prod-9"", ""prod-32""]",mobile_professional,mid-range
synth_ord_0245,"[""prod-16"", ""prod-20""]",tech_enthusiast,mid-range
synth_ord_0246,"[""prod-1"", ""prod-3""]",audiophile_creator,premium
synth_ord_0247,"[""prod-1"", ""prod-3"", ""prod-7""]",tech_enthusiast,mid-range
synth_ord_0248,"[""prod-11"", ""prod-48""]",audiophile_creator,premium
synth_ord_0249,"[""prod-34"", ""prod-30"", ""prod-22"", ""prod-13""]",executive_premium,premium
synth_ord_0250,"[""prod-46"", ""prod-45""]",fitness_pro,mid-range
synth_ord_0251,"[""prod-43"", ""prod-42""]",executive_premium,premium
synth_ord_0252,"[""prod-45""]",student_budget,budget
synth_ord_0253,"[""prod-1"", ""prod-8"", ""prod-3""]",tech_enthusiast,mid-range
synth_ord_0254,"[""prod-33"", ""prod-27""]",mobile_professional,mid-range
synth_ord_0255,"[""prod-12"", ""prod-19""]",mobile_professional,mid-range
synth_ord_0256,"[""prod-8""]",audiophile_creator,premium
synth_ord_0257,"[""prod-34"", ""prod-29""]",audiophile_creator,premium
synth_ord_0258,"[""prod-46"", ""prod-50"", ""prod-45"", ""prod-41""]",student_budget,budget
synth_ord_0259,"[""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0260,"[""prod-49"", ""prod-47""]",student_budget,budget
synth_ord_0261,"[""prod-27"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0262,"[""prod-23"", ""prod-9"", ""prod-27"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0263,"[""prod-8"", ""prod-14"", ""prod-7""]",student_budget,budget
synth_ord_0264,"[""prod-23"", ""prod-9"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0265,"[""prod-1"", ""prod-8"", ""prod-7""]",mobile_professional,mid-range
synth_ord_0266,"[""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0267,"[""prod-23""]",tech_enthusiast,mid-range
synth_ord_0268,"[""prod-30"", ""prod-22""]",executive_premium,premium
synth_ord_0269,"[""prod-4""]",mobile_professional,mid-range
synth_ord_0270,"[""prod-35"", ""prod-18"", ""prod-37""]",mobile_professional,mid-range
synth_ord_0271,"[""prod-23"", ""prod-9"", ""prod-27"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0272,"[""prod-3"", ""prod-7""]",student_budget,budget
synth_ord_0273,"[""prod-45"", ""prod-41""]",student_budget,budget
synth_ord_0274,"[""prod-1"", ""prod-25"", ""prod-6""]",audiophile_creator,premium
synth_ord_0275,"[""prod-47""]",mobile_professional,mid-range
synth_ord_0276,"[""prod-1"", ""prod-8"", ""prod-7"", ""prod-3""]",mobile_professional,mid-range
synth_ord_0277,"[""prod-12"", ""prod-19""]",tech_enthusiast,mid-range
synth_ord_0278,"[""prod-12"", ""prod-19""]",tech_enthusiast,mid-range
synth_ord_0279,"[""prod-9"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0280,"[""prod-46"", ""prod-45""]",student_budget,budget
synth_ord_0281,"[""prod-15"", ""prod-14""]",mobile_professional,mid-range
synth_ord_0282,"[""prod-41""]",student_budget,budget
synth_ord_0283,"[""prod-12"", ""prod-19""]",student_budget,budget
synth_ord_0284,"[""prod-40""]",executive_premium,premium
synth_ord_0285,"[""prod-15"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0286,"[""prod-35"", ""prod-18""]",fitness_pro,mid-range
synth_ord_0287,"[""prod-46"", ""prod-5""]",executive_premium,premium
synth_ord_0288,"[""prod-25"", ""prod-5""]",audiophile_creator,premium
synth_ord_0289,"[""prod-15"", ""prod-26""]",mobile_professional,mid-range
synth_ord_0290,"[""prod-42"", ""prod-40"", ""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0291,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0292,"[""prod-6"", ""prod-41""]",executive_premium,premium
synth_ord_0293,"[""prod-42"", ""prod-41""]",executive_premium,premium
synth_ord_0294,"[""prod-7""]",audiophile_creator,premium
synth_ord_0295,"[""prod-20""]",executive_premium,premium
synth_ord_0296,"[""prod-36"", ""prod-37""]",mobile_professional,mid-range
synth_ord_0297,"[""prod-1"", ""prod-6""]",audiophile_creator,premium
synth_ord_0298,"[""prod-37""]",fitness_pro,mid-range
synth_ord_0299,"[""prod-38"", ""prod-18""]",fitness_pro,mid-range
synth_ord_0300,"[""prod-23""]",audiophile_creator,premium
synth_ord_0301,"[""prod-24""]",tech_enthusiast,mid-range
synth_ord_0302,"[""prod-36""]",fitness_pro,mid-range
synth_ord_0303,"[""prod-40"", ""prod-11""]",mobile_professional,mid-range
synth_ord_0304,"[""prod-49"", ""prod-47""]",mobile_professional,mid-range
synth_ord_0305,"[""prod-23"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0306,"[""prod-46"", ""prod-45""]",student_budget,budget
synth_ord_0307,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0308,"[""prod-42""]",executive_premium,premium
synth_ord_0309,"[""prod-5""]",audiophile_creator,premium
synth_ord_0310,"[""prod-42"", ""prod-43""]",executive_premium,premium
synth_ord_0311,"[""prod-36"", ""prod-18"", ""prod-38"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0312,"[""prod-46"", ""prod-50"", ""prod-45"", ""prod-41""]",fitness_pro,mid-range
synth_ord_0313,"[""prod-34"", ""prod-22""]",student_budget,budget
synth_ord_0314,"[""prod-40"", ""prod-21""]",mobile_professional,mid-range
synth_ord_0315,"[""prod-1"", ""prod-25""]",audiophile_creator,premium
synth_ord_0316,"[""prod-12"", ""prod-7""]",executive_premium,premium
synth_ord_0317,"[""prod-31"", ""prod-28""]",executive_premium,premium
synth_ord_0318,"[""prod-47"", ""prod-48""]",audiophile_creator,premium
synth_ord_0319,"[""prod-35"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0320,"[""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0321,"[""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0322,"[""prod-50"", ""prod-41""]",audiophile_creator,premium
synth_ord_0323,"[""prod-18""]",fitness_pro,mid-range
synth_ord_0324,"[""prod-16"", ""prod-26"", ""prod-14""]",mobile_professional,mid-range
synth_ord_0325,"[""prod-23"", ""prod-9"", ""prod-27"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0326,"[""prod-1"", ""prod-6""]",audiophile_creator,premium
synth_ord_0327,"[""prod-46"", ""prod-45"", ""prod-41""]",student_budget,budget
synth_ord_0328,"[""prod-26"", ""prod-14""]",mobile_professional,mid-range
synth_ord_0329,"[""prod-1"", ""prod-5""]",audiophile_creator,premium
synth_ord_0330,"[""prod-46"", ""prod-50""]",student_budget,budget
synth_ord_0331,"[""prod-9"", ""prod-27"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0332,"[""prod-31"", ""prod-11""]",executive_premium,premium
synth_ord_0333,"[""prod-7"", ""prod-10""]",fitness_pro,mid-range
synth_ord_0334,"[""prod-25"", ""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0335,"[""prod-3""]",tech_enthusiast,mid-range
synth_ord_0336,"[""prod-36"", ""prod-38"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0337,"[""prod-15"", ""prod-26"", ""prod-14"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0338,"[""prod-30"", ""prod-8""]",tech_enthusiast,mid-range
synth_ord_0339,"[""prod-15"", ""prod-16""]",mobile_professional,mid-range
synth_ord_0340,"[""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0341,"[""prod-26""]",executive_premium,premium
synth_ord_0342,"[""prod-40""]",executive_premium,premium
synth_ord_0343,"[""prod-35"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0344,"[""prod-20""]",mobile_professional,mid-range
synth_ord_0345,"[""prod-42"", ""prod-41""]",executive_premium,premium
synth_ord_0346,"[""prod-50"", ""prod-41""]",student_budget,budget
synth_ord_0347,"[""prod-12"", ""prod-7""]",student_budget,budget
synth_ord_0348,"[""prod-11"", ""prod-47""]",fitness_pro,mid-range
synth_ord_0349,"[""prod-40"", ""prod-42"", ""prod-41""]",audiophile_creator,premium
synth_ord_0350,"[""prod-42"", ""prod-41""]",executive_premium,premium
synth_ord_0351,"[""prod-43""]",executive_premium,premium
synth_ord_0352,"[""prod-34""]",student_budget,budget
synth_ord_0353,"[""prod-36"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0354,"[""prod-9""]",executive_premium,premium
synth_ord_0355,"[""prod-50""]",student_budget,budget
synth_ord_0356,"[""prod-15"", ""prod-16"", ""prod-26"", ""prod-14""]",audiophile_creator,premium
synth_ord_0357,"[""prod-31"", ""prod-28""]",tech_enthusiast,mid-range
synth_ord_0358,"[""prod-35"", ""prod-18""]",fitness_pro,mid-range
synth_ord_0359,"[""prod-35"", ""prod-8""]",audiophile_creator,premium
synth_ord_0360,"[""prod-1"", ""prod-6"", ""prod-5""]",fitness_pro,mid-range
synth_ord_0361,"[""prod-6"", ""prod-5""]",audiophile_creator,premium
synth_ord_0362,"[""prod-36"", ""prod-18"", ""prod-35"", ""prod-38""]",fitness_pro,mid-range
synth_ord_0363,"[""prod-9"", ""prod-27""]",executive_premium,premium
